date,competition,team_1,team_1_score,team_2_score,team_2
19-11-2019,International - European Championship Qualification Group C,Germany,6,1,Northern Ireland
19-11-2019,International - European Championship Qualification Group C,Netherlands,5,0,Estonia
19-11-2019,International - European Championship Qualification Group E,Slovakia,2,0,Azerbaijan
19-11-2019,International - European Championship Qualification Group E,Wales,2,0,Hungary
19-11-2019,International - European Championship Qualification Group G,Macedonia,1,0,Israel
19-11-2019,International - European Championship Qualification Group G,Latvia,1,0,Austria
19-11-2019,International - European Championship Qualification Group G,Poland,3,2,Slovenia
19-11-2019,International - European Championship Qualification Group I,Belgium,6,1,Cyprus
19-11-2019,International - European Championship Qualification Group I,San Marino,0,5,Russia
19-11-2019,International - European Championship Qualification Group I,Scotland,3,1,Kazakhstan
19-11-2019,International - Africa Cup of Nations Qualification Group E,Burundi,0,3,Morocco
19-11-2019,International - Africa Cup of Nations Qualification Group E,Mauritania,2,0,Central African Republic
19-11-2019,International - Africa Cup of Nations Qualification Group H,Zambia,1,2,Zimbabwe
19-11-2019,International - Africa Cup of Nations Qualification Group J,Libya,2,1,Tanzania
19-11-2019,International - Africa Cup of Nations Qualification Group J,Equatorial Guinea,0,1,Tunisia
19-11-2019,International - Africa Cup of Nations Qualification Group K,Ethiopia,2,1,Ivory Coast
19-11-2019,International - Africa Cup of Nations Qualification Group K,Niger,2,6,Madagascar
19-11-2019,International - CONCACAF Nations League B Group 2,El Salvador,2,0,Dominican Republic
19-11-2019,International - CONCACAF Nations League B Group 2,St. Lucia,0,1,Montserrat
19-11-2019,International - CONCACAF Nations League B Group 3,Aruba,2,3,Antigua and Barbuda
19-11-2019,International - CONCACAF Nations League B Group 3,Jamaica,1,1,Guyana
19-11-2019,International - CONCACAF Nations League B Group 4,Nicaragua,1,2,Suriname
19-11-2019,International - CONCACAF Nations League C Group 3,Puerto Rico,3,0,Anguilla
19-11-2019,International - National Friendlies,Japan,1,4,Venezuela
19-11-2019,International - National Friendlies,Brazil,3,0,Korea Republic
19-11-2019,International - National Friendlies,Saudi Arabia,0,0,Paraguay
19-11-2019,International - National Friendlies,Montenegro,2,0,Belarus
19-11-2019,International - National Friendlies,Croatia,2,1,Georgia
19-11-2019,International - World Cup Qualification AFC 2nd Round Group A,Maldives,3,1,Guam
19-11-2019,International - World Cup Qualification AFC 2nd Round Group A,Syria,1,0,Philippines
19-11-2019,International - World Cup Qualification AFC 2nd Round Group B,Nepal,0,1,Kuwait
19-11-2019,International - World Cup Qualification AFC 2nd Round Group B,Jordan,5,0,Taiwan
19-11-2019,International - World Cup Qualification AFC 2nd Round Group C,Hong Kong,2,0,Cambodia
19-11-2019,International - World Cup Qualification AFC 2nd Round Group C,Iraq,0,0,Bahrain
19-11-2019,International - World Cup Qualification AFC 2nd Round Group D,Uzbekistan,2,0,Palestine
19-11-2019,International - World Cup Qualification AFC 2nd Round Group D,Yemen,1,2,Singapore
19-11-2019,International - World Cup Qualification AFC 2nd Round Group E,Afghanistan,0,1,Qatar
19-11-2019,International - World Cup Qualification AFC 2nd Round Group E,Oman,1,0,India
